class,count
Anas_platyrhynchos,6624
Chroicocephalus_ridibundus,4031
Cygnus_olor,3922
Parus_major,3498
Turdus_merula,3315
Coloeus_monedula,3176
Bufo_bufo,2853
Capreolus_capreolus,2849
Corvus_cornix,2804
Lacerta_agilis,2762
Sciurus_vulgaris,2748
Turdus_pilaris,2596
Dendrocopos_major,2545
Larus_argentatus,2526
Cyanistes_caeruleus,2432
Columba_palumbus,2306
Rana_temporaria,2247
Fulica_atra,2237
Garrulus_glandarius,2222
Passer_domesticus,2089
Pica_pica,2043
Castor_fiber,1984
Buteo_buteo,1980
Natrix_natrix,1980
Corvus_frugilegus,1833
Phalacrocorax_carbo,1822
Ciconia_ciconia,1734
Ardea_cinerea,1728
Streptopelia_decaocto,1714
Fringilla_coelebs,1662
Sturnus_vulgaris,1635
Grus_grus,1599
Aythya_fuligula,1509
Zootoca_vivipara,1506
Sitta_europaea,1454
Mergus_merganser,1407
Motacilla_alba,1297
Sus_scrofa,1272
Anguis_fragilis,1219
Passer_montanus,1200
Lanius_collurio,1170
Vulpes_vulpes,1165
Phoenicurus_ochruros,1138
Anser_anser,1133
Phasianus_colchicus,1128
Erithacus_rubecula,1126
Emberiza_citrinella,1118
Podiceps_cristatus,1093
Ardea_alba,1020
Felis_catus,1009
Talpa_europaea,968
Hirundo_rustica,941
Falco_tinnunculus,933
Aythya_ferina,929
Circus_aeruginosus,927
Cervus_elaphus,912
Carduelis_carduelis,911
Haliaeetus_albicilla,872
Pyrrhula_pyrrhula,865
Lepus_europaeus,861
Aix_galericulata,839
Salamandra_salamandra,833
Aegithalos_caudatus,827
Bucephala_clangula,807
Gallinula_chloropus,802
Alces_alces,796
Accipiter_nisus,752
Vipera_berus,746
Turdus_philomelos,742
Vanellus_vanellus,741
Larus_canus,715
Clangula_hyemalis,675
Chloris_chloris,664
Corvus_corax,655
Spinus_spinus,647
Apus_apus,630
Picus_viridis,599
Bison_bonasus,585
Rana_arvalis,583
Lissotriton_vulgaris,543
Dryocopus_martius,538
Meles_meles,533
Periparus_ater,513
Bombina_variegata,503
Larus_cachinnans,487
Certhia_familiaris,487
Dendrocoptes_medius,466
Erinaceus_roumanicus,463
Linaria_cannabina,462
Coccothraustes_coccothraustes,460
Regulus_regulus,440
Muscicapa_striata,437
Poecile_palustris,436
Sylvia_atricapilla,436
Apodemus_agrarius,428
Troglodytes_troglodytes,423
Sylvia_communis,415
Emberiza_schoeniclus,402
Canis_lupus,391
Alcedo_atthis,387
Phoenicurus_phoenicurus,379
Mareca_strepera,376
Delichon_urbicum,373
Acrocephalus_schoenobaenus,370
Perca_fluviatilis,360
Triturus_cristatus,358
Larus_marinus,356
Saxicola_rubetra,352
Strix_aluco,350
Emberiza_calandra,349
Aquila_pomarina,347
Anguis_colchica,344
Motacilla_flava,340
Ciconia_nigra,328
Acrocephalus_arundinaceus,321
Sylvia_curruca,318
Mareca_penelope,313
Saxicola_rubicola,313
Dryobates_minor,307
Sterna_hirundo,303
Alauda_arvensis,301
Upupa_epops,299
Lanius_excubitor,297
Calidris_pugnax,294
Phylloscopus_collybita,289
Gasterosteus_aculeatus,274
Milvus_milvus,273
Bufotes_viridis,264
Tachybaptus_ruficollis,263
Cygnus_cygnus,262
Certhia_brachydactyla,262
Anas_crecca,260
Motacilla_cinerea,256
Lophophanes_cristatus,256
Bombina_bombina,249
Calidris_alpina,241
Lutra_lutra,238
Riparia_riparia,232
Rattus_norvegicus,231
Sorex_araneus,231
Anser_albifrons,224
Asio_otus,221
Esox_lucius,218
Scardinius_erythrophthalmus,214
Fringilla_montifringilla,213
Myodes_glareolus,210
Pelobates_fuscus,208
Chlidonias_niger,205
Dama_dama,203
Actitis_hypoleucos,202
Bombycilla_garrulus,196
Nycticorax_nycticorax,195
Ficedula_hypoleuca,193
Turdus_viscivorus,193
Remiz_pendulinus,192
Tringa_glareola,190
Anthus_trivialis,188
Cinclus_cinclus,188
Cuculus_canorus,187
Aythya_marila,187
Rutilus_rutilus,185
Squalius_cephalus,182
Oriolus_oriolus,180
Phylloscopus_trochilus,179
Coronella_austriaca,178
Halichoerus_grypus,175
Martes_martes,173
Anthus_pratensis,172
Limosa_limosa,170
Podiceps_grisegena,167
Serinus_serinus,167
Spatula_clypeata,166
Dendrocopos_syriacus,165
Perdix_perdix,165
Tringa_nebularia,165
Poecile_montanus,165
Nyctereutes_procyonoides,164
Circus_pygargus,162
Spatula_querquedula,161
Chlidonias_hybrida,161
Picoides_tridactylus,160
Charadrius_hiaticula,157
Anas_acuta,155
Nucifraga_caryocatactes,153
Hyla_arborea,153
Gallinago_gallinago,151
Anser_serrirostris,149
Chlidonias_leucopterus,147
Ichthyosaura_alpestris,146
